roi,Amylax_triacantha,Aphanizomenon_flosaquae,Aphanothece_paralleliformis,Beads,Centrales_sp,Ceratoneis_closterium,Chaetoceros_sp,Chaetoceros_sp_single,Chlorococcales,Chroococcales,Chroococcus_small,Ciliata,Cryptomonadales,Cryptophyceae-Teleaulax,Cyclotella_choctawhatcheeana,Cymbomonas_tetramitiformis,Dinophyceae,Dinophysis_acuminata,Dolichospermum-Anabaenopsis,Dolichospermum-Anabaenopsis-coiled,Euglenophyceae,Eutreptiella_sp,Gonyaulax_verior,Gymnodiniales,Gymnodinium_like,Heterocapsa_rotundata,Heterocapsa_triquetra,Heterocyte,Katablepharis_remigera,Licmophora_sp,Melosira_arctica,Merismopedia_sp,Mesodinium_rubrum,Monoraphidium_contortum,Nitzschia_paleacea,Nodularia_spumigena,Oocystis_sp,Oscillatoriales,Pauliella_taeniata,Pennales_sp_thick,Pennales_sp_thin,Peridiniella_catenata_chain,Peridiniella_catenata_single,Prorocentrum_cordatum,Pseudopedinella_sp,Pyramimonas_sp,Skeletonema_marinoi,Snowella-Woronichinia,Thalassiosira_levanderi,Uroglenopsis_sp
1,0.00158,0.00456,0.00191,0.00037,0.00051,0.00833,0.00122,0.00002,0.00009,0.00052,0.00004,0.00227,0.01535,0.91686,0.00005,0.00047,0.00003,0.00001,0.00034,0.00018,0.00860,0.00659,0.00005,0.00050,0.00003,0.00154,0.00008,0.00233,0.00058,0.00651,0.00001,0.00005,0.00023,0.00289,0.00021,0.00027,0.00112,0.00055,0.00001,0.00593,0.00180,0.00014,0.00085,0.00163,0.00028,0.00045,0.00023,0.00024,0.00149,0.00007
2,0.00024,0.00061,0.00101,0.00006,0.52446,0.00017,0.00965,0.00059,0.00001,0.00076,0.00008,0.06443,0.00428,0.00288,0.00007,0.00298,0.19234,0.00012,0.00006,0.00030,0.00016,0.00626,0.00167,0.00014,0.00814,0.00005,0.02590,0.00031,0.00112,0.00028,0.00029,0.00003,0.06709,0.00212,0.00003,0.00016,0.00013,0.00020,0.00106,0.00022,0.00003,0.00033,0.01023,0.00886,0.00839,0.00068,0.00023,0.00039,0.05031,0.00011
3,0.00023,0.00471,0.00077,0.00020,0.00022,0.00270,0.00125,0.00001,0.00004,0.00009,0.00001,0.00061,0.00670,0.95458,0.00002,0.00013,0.00000,0.00000,0.00045,0.00012,0.00316,0.00398,0.00000,0.00024,0.00001,0.00109,0.00002,0.00174,0.00016,0.00365,0.00000,0.00001,0.00012,0.00125,0.00010,0.00028,0.00060,0.00017,0.00000,0.00694,0.00076,0.00006,0.00045,0.00059,0.00005,0.00014,0.00014,0.00006,0.00133,0.00004
4,0.00001,0.00044,0.00005,0.00160,0.00000,0.00584,0.00007,0.00000,0.00002,0.00063,0.00001,0.00002,0.05504,0.88124,0.00012,0.00002,0.00000,0.00000,0.00005,0.00000,0.00007,0.00338,0.00000,0.00004,0.00000,0.00346,0.00000,0.02202,0.00018,0.00001,0.00000,0.00002,0.00000,0.00099,0.00001,0.00000,0.00009,0.00019,0.00000,0.00099,0.00045,0.00000,0.00000,0.00003,0.00028,0.02158,0.00039,0.00003,0.00037,0.00028
5,0.00006,0.00002,0.00001,0.00971,0.00000,0.00004,0.00000,0.00001,0.00005,0.00297,0.00108,0.00001,0.00026,0.00415,0.00049,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00051,0.00000,0.00093,0.00000,0.00000,0.00000,0.00748,0.00000,0.01533,0.00000,0.00000,0.00000,0.00363,0.00000,0.00004,0.00013,0.00000,0.00000,0.00000,0.00422,0.81974,0.00001,0.00005,0.00003,0.12899
6,0.00063,0.00054,0.00008,0.00012,0.02867,0.00005,0.00120,0.00098,0.00057,0.00009,0.00007,0.01571,0.00019,0.00009,0.00068,0.00504,0.37155,0.00185,0.00076,0.00076,0.00003,0.00051,0.00719,0.00024,0.39559,0.00018,0.06169,0.00012,0.00330,0.00006,0.00342,0.00001,0.04808,0.00103,0.00014,0.00228,0.00888,0.00082,0.00031,0.00003,0.00005,0.00037,0.01588,0.01218,0.00206,0.00027,0.00077,0.00060,0.00403,0.00022
7,0.00019,0.00103,0.00045,0.12510,0.00001,0.00156,0.00005,0.00011,0.00083,0.02126,0.00578,0.00021,0.00345,0.01268,0.00425,0.00004,0.00001,0.00002,0.00027,0.00001,0.00001,0.00020,0.00000,0.00002,0.00007,0.00294,0.00000,0.02507,0.00026,0.00002,0.00000,0.02092,0.00000,0.01777,0.00034,0.00013,0.00010,0.00720,0.00001,0.00098,0.00185,0.00002,0.00000,0.00016,0.00413,0.64266,0.00231,0.00049,0.00069,0.09431
8,0.00058,0.00853,0.00088,0.00107,0.00117,0.00611,0.00799,0.00034,0.00085,0.00025,0.00003,0.00067,0.03999,0.66110,0.00039,0.00573,0.00010,0.00005,0.00544,0.00149,0.00489,0.03599,0.00003,0.00402,0.00014,0.05552,0.00016,0.00764,0.00047,0.01330,0.00011,0.00008,0.00091,0.00168,0.00100,0.00107,0.01835,0.00049,0.00002,0.08144,0.00620,0.00186,0.00431,0.00143,0.00110,0.00157,0.00144,0.00051,0.01014,0.00139
9,0.00006,0.00019,0.00008,0.05133,0.00000,0.00026,0.00002,0.00017,0.00032,0.00312,0.00448,0.00001,0.00140,0.00583,0.01158,0.00003,0.00000,0.00000,0.00005,0.00000,0.00000,0.00016,0.00000,0.00001,0.00002,0.01844,0.00000,0.00459,0.00002,0.00001,0.00000,0.02603,0.00000,0.00204,0.00004,0.00004,0.00001,0.00158,0.00000,0.00034,0.00020,0.00006,0.00000,0.00000,0.01569,0.82600,0.00012,0.00024,0.00455,0.02086
10,0.00001,0.00038,0.00004,0.00863,0.00000,0.00295,0.00004,0.00000,0.00001,0.00147,0.00002,0.00004,0.04708,0.72400,0.00029,0.00004,0.00000,0.00000,0.00007,0.00000,0.00002,0.00321,0.00000,0.00002,0.00000,0.00649,0.00000,0.05337,0.00017,0.00000,0.00000,0.00008,0.00000,0.00359,0.00001,0.00000,0.00003,0.00026,0.00000,0.00099,0.00031,0.00000,0.00000,0.00002,0.00133,0.14149,0.00033,0.00003,0.00046,0.00268
11,0.00002,0.00587,0.00045,0.00123,0.00013,0.02948,0.01753,0.00264,0.01037,0.00247,0.00065,0.00011,0.01077,0.01451,0.00107,0.00009,0.00022,0.00020,0.00887,0.00095,0.00659,0.00383,0.00017,0.00056,0.00007,0.00424,0.00024,0.00554,0.00083,0.00043,0.00017,0.00088,0.00001,0.00097,0.01854,0.00035,0.01766,0.00206,0.00003,0.00707,0.01582,0.00003,0.00050,0.00136,0.00207,0.00077,0.78817,0.00117,0.00292,0.00932
12,0.00027,0.00078,0.00044,0.00014,0.00028,0.02921,0.00343,0.00004,0.00023,0.00027,0.00002,0.00066,0.08647,0.76877,0.00010,0.00075,0.00003,0.00001,0.00012,0.00010,0.01463,0.04276,0.00005,0.00145,0.00001,0.00335,0.00010,0.00143,0.00194,0.00335,0.00003,0.00002,0.00016,0.00030,0.00029,0.00003,0.01281,0.00016,0.00002,0.01484,0.00414,0.00011,0.00042,0.00075,0.00083,0.00054,0.00063,0.00043,0.00225,0.00007
13,0.00008,0.00082,0.00001,0.00011,0.00750,0.00013,0.00131,0.00048,0.00002,0.00000,0.00000,0.00154,0.00036,0.00109,0.00002,0.00104,0.01234,0.00270,0.00239,0.00108,0.00067,0.00979,0.00018,0.00529,0.00117,0.00039,0.00868,0.00011,0.00224,0.00190,0.07375,0.00000,0.82906,0.00008,0.00003,0.00158,0.00165,0.00003,0.00003,0.00018,0.00006,0.00072,0.02669,0.00088,0.00003,0.00002,0.00006,0.00004,0.00166,0.00002
14,0.00003,0.00073,0.00012,0.00004,0.00001,0.00205,0.00017,0.00000,0.00008,0.00009,0.00000,0.00003,0.01077,0.97336,0.00001,0.00005,0.00000,0.00000,0.00034,0.00004,0.00208,0.00281,0.00000,0.00029,0.00000,0.00122,0.00000,0.00071,0.00006,0.00019,0.00000,0.00001,0.00000,0.00136,0.00004,0.00001,0.00108,0.00009,0.00000,0.00074,0.00028,0.00001,0.00004,0.00035,0.00004,0.00012,0.00013,0.00007,0.00030,0.00003
15,0.00002,0.00027,0.00006,0.00757,0.00000,0.00658,0.00002,0.00000,0.00005,0.00453,0.00005,0.00003,0.10203,0.65274,0.00027,0.00005,0.00000,0.00000,0.00008,0.00000,0.00005,0.00295,0.00000,0.00007,0.00000,0.00781,0.00000,0.03992,0.00020,0.00000,0.00000,0.00026,0.00000,0.00613,0.00001,0.00000,0.00005,0.00043,0.00000,0.00037,0.00042,0.00000,0.00000,0.00003,0.00164,0.16286,0.00038,0.00011,0.00024,0.00174
16,0.00000,0.00208,0.00005,0.00118,0.00001,0.01418,0.00736,0.00105,0.00165,0.00023,0.00005,0.00004,0.00257,0.00142,0.00076,0.00001,0.00003,0.00014,0.00170,0.00015,0.00139,0.00093,0.00002,0.00007,0.00001,0.00072,0.00003,0.00481,0.00106,0.00009,0.00023,0.00007,0.00000,0.00007,0.00928,0.00026,0.00424,0.00031,0.00001,0.00316,0.00588,0.00000,0.00006,0.00014,0.00039,0.00023,0.93028,0.00009,0.00069,0.00081
17,0.00001,0.00002,0.00001,0.00033,0.00000,0.00246,0.00001,0.00000,0.00001,0.00048,0.00001,0.00001,0.04053,0.84050,0.00002,0.00011,0.00000,0.00000,0.00000,0.00000,0.00005,0.00290,0.00000,0.00001,0.00000,0.00119,0.00000,0.00102,0.00005,0.00001,0.00000,0.00002,0.00000,0.00254,0.00000,0.00000,0.00007,0.00017,0.00000,0.00029,0.00021,0.00000,0.00000,0.00006,0.00092,0.10526,0.00002,0.00002,0.00010,0.00055
18,0.00007,0.00235,0.00039,0.53760,0.00000,0.00757,0.00003,0.00004,0.00029,0.02577,0.00147,0.00006,0.00942,0.04069,0.00222,0.00001,0.00000,0.00001,0.00161,0.00002,0.00003,0.00045,0.00000,0.00010,0.00002,0.00977,0.00000,0.05854,0.00015,0.00001,0.00000,0.01688,0.00000,0.01395,0.00029,0.00007,0.00003,0.00299,0.00000,0.00116,0.00308,0.00002,0.00000,0.00002,0.00238,0.22658,0.00324,0.00046,0.00025,0.02990
19,0.00010,0.00191,0.00024,0.44572,0.00000,0.00230,0.00001,0.00001,0.00027,0.01954,0.00111,0.00004,0.00543,0.02520,0.00369,0.00001,0.00000,0.00000,0.00099,0.00001,0.00000,0.00012,0.00000,0.00003,0.00002,0.00710,0.00000,0.07819,0.00006,0.00000,0.00000,0.01547,0.00000,0.01443,0.00012,0.00008,0.00002,0.00371,0.00000,0.00076,0.00173,0.00001,0.00000,0.00001,0.00151,0.34255,0.00116,0.00033,0.00015,0.02583
20,0.00013,0.00063,0.00041,0.00024,0.00002,0.00288,0.00039,0.00000,0.00013,0.00058,0.00004,0.00009,0.01501,0.96329,0.00007,0.00013,0.00000,0.00000,0.00008,0.00001,0.00060,0.00216,0.00000,0.00005,0.00000,0.00204,0.00000,0.00114,0.00004,0.00023,0.00000,0.00006,0.00001,0.00141,0.00004,0.00001,0.00054,0.00017,0.00000,0.00213,0.00048,0.00002,0.00003,0.00016,0.00083,0.00147,0.00023,0.00018,0.00149,0.00033
21,0.00011,0.00174,0.00055,0.00017,0.00006,0.00588,0.00058,0.00000,0.00076,0.00060,0.00004,0.00008,0.03066,0.92164,0.00015,0.00018,0.00001,0.00000,0.00077,0.00017,0.00214,0.00427,0.00001,0.00104,0.00001,0.00434,0.00001,0.00358,0.00027,0.00065,0.00000,0.00007,0.00001,0.00180,0.00034,0.00006,0.00702,0.00038,0.00000,0.00347,0.00149,0.00002,0.00005,0.00150,0.00018,0.00060,0.00066,0.00038,0.00135,0.00017
22,0.00003,0.00040,0.00005,0.00387,0.00000,0.00598,0.00014,0.00001,0.00008,0.00333,0.00007,0.00007,0.23019,0.30667,0.00152,0.00035,0.00001,0.00000,0.00007,0.00000,0.00010,0.00981,0.00000,0.00006,0.00003,0.00867,0.00000,0.09046,0.00125,0.00001,0.00000,0.00024,0.00000,0.00368,0.00001,0.00001,0.00017,0.00062,0.00001,0.00078,0.00035,0.00000,0.00000,0.00012,0.01073,0.31494,0.00118,0.00016,0.00225,0.00151
23,0.00004,0.00029,0.00007,0.51319,0.00000,0.00090,0.00000,0.00001,0.00010,0.00762,0.00078,0.00001,0.00147,0.01431,0.00245,0.00000,0.00000,0.00000,0.00012,0.00000,0.00000,0.00014,0.00000,0.00001,0.00001,0.01189,0.00000,0.00722,0.00002,0.00000,0.00000,0.00549,0.00000,0.00320,0.00004,0.00001,0.00001,0.00104,0.00000,0.00025,0.00046,0.00002,0.00000,0.00000,0.00346,0.39996,0.00024,0.00017,0.00045,0.02451
24,0.00003,0.00014,0.00004,0.02129,0.00000,0.00012,0.00011,0.00012,0.03712,0.00233,0.00476,0.00000,0.00116,0.00695,0.08105,0.00004,0.00001,0.00000,0.00179,0.00001,0.00000,0.00014,0.00000,0.00005,0.00014,0.12882,0.00000,0.00239,0.00001,0.00000,0.00000,0.03264,0.00001,0.00233,0.00011,0.00003,0.00085,0.00153,0.00000,0.00026,0.00019,0.00011,0.00000,0.00000,0.06298,0.13713,0.00157,0.00214,0.01607,0.45338
25,0.00004,0.00088,0.00013,0.78777,0.00000,0.00194,0.00001,0.00002,0.00016,0.00827,0.00032,0.00002,0.00388,0.00640,0.00335,0.00001,0.00001,0.00000,0.00063,0.00002,0.00000,0.00019,0.00000,0.00005,0.00005,0.00959,0.00000,0.03375,0.00008,0.00000,0.00000,0.00292,0.00000,0.00315,0.00020,0.00005,0.00001,0.00063,0.00001,0.00046,0.00077,0.00004,0.00000,0.00000,0.00365,0.12120,0.00224,0.00020,0.00028,0.00662
26,0.00001,0.00001,0.00001,0.01160,0.00000,0.00101,0.00001,0.00001,0.00001,0.00073,0.00002,0.00001,0.01906,0.14625,0.00020,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00107,0.00000,0.00000,0.00000,0.00935,0.00000,0.00516,0.00003,0.00000,0.00000,0.00009,0.00000,0.00134,0.00000,0.00000,0.00001,0.00007,0.00000,0.00027,0.00011,0.00000,0.00000,0.00000,0.01792,0.77883,0.00008,0.00002,0.00034,0.00634
27,0.00048,0.00016,0.00084,0.00001,0.00002,0.00007,0.00042,0.00001,0.00069,0.00062,0.00017,0.00472,0.00055,0.02563,0.00001,0.00023,0.00002,0.00000,0.00025,0.00001,0.00050,0.00003,0.00001,0.00000,0.00017,0.00000,0.00000,0.00008,0.00005,0.00004,0.00000,0.00041,0.00001,0.94502,0.00005,0.00001,0.00061,0.00993,0.00000,0.00003,0.00014,0.00000,0.00001,0.00544,0.00029,0.00041,0.00009,0.00013,0.00001,0.00158
28,0.00001,0.00013,0.00003,0.00137,0.00000,0.00147,0.00001,0.00000,0.00004,0.00078,0.00001,0.00001,0.01851,0.91128,0.00023,0.00001,0.00000,0.00000,0.00002,0.00000,0.00001,0.00039,0.00000,0.00000,0.00000,0.00148,0.00000,0.00676,0.00003,0.00000,0.00000,0.00010,0.00000,0.00468,0.00000,0.00000,0.00004,0.00036,0.00000,0.00019,0.00015,0.00000,0.00000,0.00001,0.00056,0.05038,0.00008,0.00003,0.00014,0.00070
29,0.00013,0.00453,0.00030,0.14100,0.00000,0.01455,0.00010,0.00002,0.00028,0.01011,0.00030,0.00019,0.05933,0.22307,0.00384,0.00006,0.00001,0.00001,0.00153,0.00003,0.00010,0.00247,0.00000,0.00022,0.00002,0.01269,0.00000,0.26243,0.00096,0.00003,0.00000,0.00339,0.00000,0.01200,0.00023,0.00018,0.00015,0.00309,0.00001,0.00367,0.00372,0.00002,0.00000,0.00008,0.00155,0.22328,0.00372,0.00039,0.00068,0.00552
30,0.00003,0.00008,0.00006,0.00512,0.00000,0.00305,0.00001,0.00000,0.00009,0.00429,0.00005,0.00002,0.03079,0.82066,0.00012,0.00002,0.00000,0.00000,0.00005,0.00000,0.00002,0.00071,0.00000,0.00002,0.00000,0.00330,0.00000,0.01091,0.00007,0.00000,0.00000,0.00053,0.00000,0.01309,0.00001,0.00000,0.00005,0.00047,0.00000,0.00023,0.00039,0.00000,0.00000,0.00002,0.00107,0.09962,0.00015,0.00010,0.00006,0.00473
31,0.00001,0.00047,0.00005,0.00031,0.00000,0.01263,0.00008,0.00000,0.00001,0.00059,0.00000,0.00004,0.10122,0.85231,0.00004,0.00004,0.00000,0.00000,0.00002,0.00000,0.00027,0.01074,0.00000,0.00007,0.00000,0.00125,0.00000,0.00923,0.00023,0.00003,0.00000,0.00001,0.00000,0.00031,0.00001,0.00000,0.00017,0.00013,0.00000,0.00196,0.00070,0.00000,0.00000,0.00015,0.00007,0.00629,0.00024,0.00004,0.00023,0.00005
32,0.00004,0.00004,0.00004,0.00058,0.00000,0.00666,0.00002,0.00000,0.00008,0.00206,0.00006,0.00002,0.11681,0.75249,0.00010,0.00019,0.00000,0.00000,0.00001,0.00000,0.00017,0.00723,0.00000,0.00006,0.00001,0.00896,0.00000,0.00191,0.00023,0.00001,0.00000,0.00009,0.00000,0.00207,0.00001,0.00000,0.00016,0.00021,0.00000,0.00018,0.00025,0.00000,0.00000,0.00007,0.00855,0.08941,0.00008,0.00021,0.00047,0.00049
33,0.00010,0.01540,0.00053,0.19196,0.00000,0.00051,0.00001,0.00001,0.00009,0.06312,0.00343,0.00005,0.00195,0.01290,0.00406,0.00000,0.00000,0.00001,0.00587,0.00001,0.00000,0.00004,0.00000,0.00000,0.00004,0.00142,0.00000,0.25682,0.00001,0.00000,0.00000,0.03333,0.00000,0.03974,0.00002,0.00027,0.00001,0.02322,0.00001,0.00129,0.00219,0.00001,0.00000,0.00002,0.00034,0.19839,0.00073,0.00049,0.00004,0.14159
34,0.00014,0.00297,0.00050,0.42453,0.00000,0.00110,0.00001,0.00002,0.00094,0.07116,0.01141,0.00003,0.00114,0.00349,0.00886,0.00000,0.00001,0.00001,0.00447,0.00004,0.00000,0.00004,0.00000,0.00003,0.00007,0.00334,0.00000,0.02218,0.00001,0.00000,0.00000,0.14942,0.00000,0.01605,0.00012,0.00016,0.00003,0.01083,0.00002,0.00051,0.00240,0.00005,0.00000,0.00001,0.00218,0.12143,0.00148,0.00212,0.00009,0.13662
35,0.00010,0.00003,0.00004,0.00243,0.00000,0.00342,0.00001,0.00001,0.00029,0.00244,0.00014,0.00003,0.03105,0.52760,0.00019,0.00011,0.00000,0.00000,0.00000,0.00000,0.00005,0.00097,0.00000,0.00001,0.00001,0.00501,0.00000,0.00236,0.00019,0.00002,0.00000,0.00047,0.00000,0.01791,0.00003,0.00000,0.00014,0.00097,0.00000,0.00017,0.00046,0.00000,0.00000,0.00008,0.01166,0.38785,0.00013,0.00010,0.00028,0.00328
36,0.00006,0.00005,0.00003,0.06274,0.00000,0.00017,0.00001,0.00016,0.00092,0.00476,0.00139,0.00001,0.00390,0.00349,0.01176,0.00016,0.00004,0.00000,0.00018,0.00000,0.00000,0.00030,0.00000,0.00003,0.00037,0.06338,0.00000,0.00823,0.00005,0.00000,0.00000,0.01125,0.00000,0.00300,0.00002,0.00001,0.00003,0.00049,0.00000,0.00014,0.00010,0.00008,0.00000,0.00000,0.12335,0.61833,0.00031,0.00060,0.00231,0.07780
37,0.00003,0.00143,0.00029,0.00010,0.00073,0.00523,0.00616,0.00011,0.00115,0.00124,0.00010,0.00038,0.41870,0.22861,0.00113,0.01017,0.00094,0.00002,0.00102,0.00065,0.00297,0.16668,0.00005,0.01458,0.00039,0.03086,0.00385,0.01515,0.00686,0.00059,0.00009,0.00009,0.00031,0.00130,0.00030,0.00009,0.02034,0.00088,0.00008,0.00344,0.00081,0.00007,0.00020,0.01733,0.00211,0.01120,0.00183,0.00160,0.01743,0.00032
38,0.00070,0.01189,0.00901,0.00047,0.03197,0.00107,0.00013,0.00006,0.00062,0.11923,0.01416,0.00100,0.00074,0.00072,0.00017,0.00003,0.00615,0.02018,0.00237,0.00965,0.00555,0.00102,0.20444,0.00021,0.00071,0.00025,0.02966,0.00029,0.00002,0.00030,0.00006,0.00080,0.00043,0.00034,0.00071,0.00167,0.00284,0.00110,0.01189,0.00131,0.00171,0.01096,0.18036,0.00473,0.00013,0.00003,0.00214,0.30498,0.00034,0.00070
39,0.00072,0.01025,0.00355,0.00059,0.05390,0.00054,0.03555,0.00458,0.04614,0.00069,0.00306,0.00441,0.00110,0.00181,0.00510,0.00575,0.02527,0.01019,0.04471,0.07733,0.00337,0.00270,0.01912,0.00687,0.03328,0.00252,0.20338,0.00053,0.00100,0.00403,0.01036,0.00130,0.02891,0.00338,0.01306,0.03958,0.05597,0.00177,0.00144,0.00128,0.00071,0.01270,0.10568,0.03516,0.00156,0.00029,0.01646,0.01766,0.03827,0.00242
